學校代碼,學校名稱,日間∕進修別,等級別,學生數
0001,國立政治大學,D 日,Doctor,952
0001,國立政治大學,D 日,Master,4028
0001,國立政治大學,D 日,Bachelor,9632
0001,國立政治大學,N 職,Master,1741
0002,國立清華大學,D 日,Doctor,1687
0002,國立清華大學,D 日,Master,4955
0002,國立清華大學,D 日,Bachelor,8860
0002,國立清華大學,D 日,others,32
0002,國立清華大學,N 職,Master,1130
0003,國立臺灣大學,D 日,Doctor,3616
0003,國立臺灣大學,D 日,Master,10201
0003,國立臺灣大學,D 日,Bachelor,16557
0003,國立臺灣大學,N 職,Master,1427
0003,國立臺灣大學,P 進,Bachelor,1
0004,國立臺灣師範大學,D 日,Doctor,1393
0004,國立臺灣師範大學,D 日,Master,3956
0004,國立臺灣師範大學,D 日,Bachelor,8085
0004,國立臺灣師範大學,N 職,Master,1992
0005,國立成功大學,D 日,Doctor,1833
0005,國立成功大學,D 日,Master,6595
0005,國立成功大學,D 日,Bachelor,11481
0005,國立成功大學,N 職,Master,1343
0006,國立中興大學,D 日,Doctor,989
0006,國立中興大學,D 日,Master,3321
0006,國立中興大學,D 日,Bachelor,8073
0006,國立中興大學,N 職,Master,1544
0006,國立中興大學,P 進,Bachelor,950
0007,國立交通大學,D 日,Doctor,1701
0007,國立交通大學,D 日,Master,5543
0007,國立交通大學,D 日,Bachelor,5455
0007,國立交通大學,N 職,Master,1470
0008,國立中央大學,D 日,Doctor,1034
0008,國立中央大學,D 日,Master,3448
0008,國立中央大學,D 日,Bachelor,6117
0008,國立中央大學,N 職,Master,1325
0009,國立中山大學,D 日,Doctor,798
0009,國立中山大學,D 日,Master,2901
0009,國立中山大學,D 日,Bachelor,4740
0009,國立中山大學,N 職,Master,1027
0012,國立臺灣海洋大學,D 日,Doctor,292
0012,國立臺灣海洋大學,D 日,Master,1393
0012,國立臺灣海洋大學,D 日,Bachelor,5737
0012,國立臺灣海洋大學,N 職,Master,566
0012,國立臺灣海洋大學,N 修,others,161
0012,國立臺灣海洋大學,P 進,Bachelor,503
0013,國立中正大學,D 日,Doctor,588
0013,國立中正大學,D 日,Master,2826
0013,國立中正大學,D 日,Bachelor,6728
0013,國立中正大學,N 職,Master,1370
0014,國立高雄師範大學,D 日,Doctor,450
0014,國立高雄師範大學,D 日,Master,1378
0014,國立高雄師範大學,D 日,Bachelor,3487
0014,國立高雄師範大學,N 職,Master,1339
0015,國立彰化師範大學,D 日,Doctor,477
0015,國立彰化師範大學,D 日,Master,1510
0015,國立彰化師範大學,D 日,Bachelor,4895
0015,國立彰化師範大學,N 職,Master,1353
0016,國立陽明大學,D 日,Doctor,864
0016,國立陽明大學,D 日,Master,1226
0016,國立陽明大學,D 日,Bachelor,2107
0016,國立陽明大學,N 職,Master,135
0017,國立臺北大學,D 日,Doctor,214
0017,國立臺北大學,D 日,Master,1346
0017,國立臺北大學,D 日,Bachelor,5878
0017,國立臺北大學,N 職,Master,456
0017,國立臺北大學,P 進,Bachelor,1959
0018,國立嘉義大學,D 日,Doctor,181
0018,國立嘉義大學,D 日,Master,1355
0018,國立嘉義大學,D 日,Bachelor,7830
0018,國立嘉義大學,N 職,Master,938
0018,國立嘉義大學,P 進,Bachelor,2095
0019,國立高雄大學,D 日,Doctor,24
