學校代碼,學校名稱,日間∕進修別,等級別,學生數
0001,國立政治大學,D 日,Doctor,963
0001,國立政治大學,D 日,Master,3882
0001,國立政治大學,D 日,Bachelor,9736
0001,國立政治大學,N 職,Master,1666
0002,國立清華大學,D 日,Doctor,1681
0002,國立清華大學,D 日,Master,3987
0002,國立清華大學,D 日,Bachelor,6315
0002,國立清華大學,N 職,Master,352
0003,國立臺灣大學,D 日,Doctor,3965
0003,國立臺灣大學,D 日,Master,10069
0003,國立臺灣大學,D 日,Bachelor,16532
0003,國立臺灣大學,N 職,Master,1191
0003,國立臺灣大學,P 進,Bachelor,1
0004,國立臺灣師範大學,D 日,Doctor,1388
0004,國立臺灣師範大學,D 日,Master,3923
0004,國立臺灣師範大學,D 日,Bachelor,7919
0004,國立臺灣師範大學,N 職,Master,1564
0004,國立臺灣師範大學,S 暑,Master,287
0005,國立成功大學,D 日,Doctor,2171
0005,國立成功大學,D 日,Master,6422
0005,國立成功大學,D 日,Bachelor,11402
0005,國立成功大學,N 職,Master,1241
0006,國立中興大學,D 日,Doctor,1116
0006,國立中興大學,D 日,Master,3324
0006,國立中興大學,D 日,Bachelor,8114
0006,國立中興大學,N 職,Master,1563
0006,國立中興大學,P 進,Bachelor,1024
0007,國立交通大學,D 日,Doctor,1836
0007,國立交通大學,D 日,Master,5334
0007,國立交通大學,D 日,Bachelor,5437
0007,國立交通大學,N 職,Master,1476
0008,國立中央大學,D 日,Doctor,1096
0008,國立中央大學,D 日,Master,3401
0008,國立中央大學,D 日,Bachelor,6117
0008,國立中央大學,N 職,Master,1348
0009,國立中山大學,D 日,Doctor,852
0009,國立中山大學,D 日,Master,2917
0009,國立中山大學,D 日,Bachelor,4681
0009,國立中山大學,N 職,Master,839
0009,國立中山大學,S 暑,Master,23
0012,國立臺灣海洋大學,D 日,Doctor,321
0012,國立臺灣海洋大學,D 日,Master,1431
0012,國立臺灣海洋大學,D 日,Bachelor,5626
0012,國立臺灣海洋大學,N 職,Master,569
0012,國立臺灣海洋大學,N 修,others,134
0012,國立臺灣海洋大學,P 進,Bachelor,528
0013,國立中正大學,D 日,Doctor,591
0013,國立中正大學,D 日,Master,2766
0013,國立中正大學,D 日,Bachelor,6727
0013,國立中正大學,N 職,Master,1595
0014,國立高雄師範大學,D 日,Doctor,478
0014,國立高雄師範大學,D 日,Master,1429
0014,國立高雄師範大學,D 日,Bachelor,3471
0014,國立高雄師範大學,N 職,Master,1253
0015,國立彰化師範大學,D 日,Doctor,464
0015,國立彰化師範大學,D 日,Master,1524
0015,國立彰化師範大學,D 日,Bachelor,4850
0015,國立彰化師範大學,N 職,Master,959
0015,國立彰化師範大學,S 暑,Master,327
0016,國立陽明大學,D 日,Doctor,934
0016,國立陽明大學,D 日,Master,1168
0016,國立陽明大學,D 日,Bachelor,2100
0016,國立陽明大學,N 職,Master,125
0017,國立臺北大學,D 日,Doctor,182
0017,國立臺北大學,D 日,Master,1328
0017,國立臺北大學,D 日,Bachelor,5856
0017,國立臺北大學,N 職,Master,469
0017,國立臺北大學,N 修,others,4
0017,國立臺北大學,P 進,Bachelor,1926
0018,國立嘉義大學,D 日,Doctor,185
0018,國立嘉義大學,D 日,Master,1488
0018,國立嘉義大學,D 日,Bachelor,7918
0018,國立嘉義大學,N 職,Master,998
0018,國立嘉義大學,P 進,Bachelor,2104
0019,國立高雄大學,D 日,Doctor,17
0019,國立高雄大學,D 日,Master,619
0019,國立高雄大學,D 日,Bachelor,4185
0019,國立高雄大學,N 職,Master,427
0019,國立高雄大學,N 修,2 Bachelor,168
0020,國立東華大學,D 日,Doctor,375
0020,國立東華大學,D 日,Master,1741
0020,國立東華大學,D 日,Bachelor,7477
0020,國立東華大學,N 職,Master,543
0020,國立東華大學,S 暑,Master,38
0021,國立暨南國際大學,D 日,Doctor,317
0021,國立暨南國際大學,D 日,Master,1056
0021,國立暨南國際大學,D 日,Bachelor,4392
0021,國立暨南國際大學,N 職,Master,373
0021,國立暨南國際大學,N 修,2 Bachelor,1
0022,國立臺灣科技大學,D 日,Doctor,931
0022,國立臺灣科技大學,D 日,Master,3208
0022,國立臺灣科技大學,D 日,4 Bachelor,5369
0022,國立臺灣科技大學,D 日,2 Bachelor,107
0022,國立臺灣科技大學,D 日,others,7
0022,國立臺灣科技大學,N 職,Doctor,27
0022,國立臺灣科技大學,N 職,Master,756
0022,國立臺灣科技大學,N 修,2 Bachelor,41
0023,國立雲林科技大學,D 日,Doctor,478
0023,國立雲林科技大學,D 日,Master,2145
0023,國立雲林科技大學,D 日,4 Bachelor,6279
0023,國立雲林科技大學,D 日,2 Bachelor,211
0023,國立雲林科技大學,N 職,Master,749
0024,國立屏東科技大學,D 日,Doctor,245
0024,國立屏東科技大學,D 日,Master,1276
0024,國立屏東科技大學,D 日,4 Bachelor,7841
0024,國立屏東科技大學,D 日,2 Bachelor,1
0024,國立屏東科技大學,N 職,Master,509
0024,國立屏東科技大學,N 修,4 Bachelor,1582
0025,國立臺北科技大學,D 日,Doctor,684
0025,國立臺北科技大學,D 日,Master,2721
0025,國立臺北科技大學,D 日,4 Bachelor,5894
0025,國立臺北科技大學,D 日,2 Bachelor,35
0025,國立臺北科技大學,N 職,Master,1329
0025,國立臺北科技大學,N 修,4 Bachelor,589
0025,國立臺北科技大學,N 修,2 Bachelor,673
0026,國立高雄第一科技大學,D 日,Doctor,232
0026,國立高雄第一科技大學,D 日,Master,1094
0026,國立高雄第一科技大學,D 日,4 Bachelor,5490
0026,國立高雄第一科技大學,D 日,2 Bachelor,155
0026,國立高雄第一科技大學,D 日,others,2
0026,國立高雄第一科技大學,N 職,Master,736
0027,國立高雄應用科技大學,D 日,Doctor,299
0027,國立高雄應用科技大學,D 日,Master,1263
0027,國立高雄應用科技大學,D 日,4 Bachelor,7511
0027,國立高雄應用科技大學,D 日,2 Bachelor,92
0027,國立高雄應用科技大學,N 職,Master,1264
0027,國立高雄應用科技大學,N 修,4 Bachelor,1233
0027,國立高雄應用科技大學,N 修,2 Bachelor,509
0028,國立臺北藝術大學,D 日,Doctor,67
0028,國立臺北藝術大學,D 日,Master,973
0028,國立臺北藝術大學,D 日,Bachelor,1748
0028,國立臺北藝術大學,D 日,others,25
0028,國立臺北藝術大學,D 日,5 Associate,83
0028,國立臺北藝術大學,N 職,Master,168
0029,國立臺灣藝術大學,D 日,Doctor,90
0029,國立臺灣藝術大學,D 日,Master,726
0029,國立臺灣藝術大學,D 日,Bachelor,2331
0029,國立臺灣藝術大學,N 職,Master,414
0029,國立臺灣藝術大學,N 修,2 Bachelor,348
0029,國立臺灣藝術大學,P 進,Bachelor,1575
0030,國立臺東大學,D 日,Doctor,38
0030,國立臺東大學,D 日,Master,302
0030,國立臺東大學,D 日,Bachelor,3547
0030,國立臺東大學,N 職,Master,641
0030,國立臺東大學,P 進,Bachelor,172
0031,國立宜蘭大學,D 日,Doctor,14
0031,國立宜蘭大學,D 日,Master,492
0031,國立宜蘭大學,D 日,Bachelor,4341
0031,國立宜蘭大學,N 職,Master,189
0031,國立宜蘭大學,N 修,Bachelor,139
0031,國立宜蘭大學,P 進,Bachelor,313
0032,國立聯合大學,D 日,Doctor,9
0032,國立聯合大學,D 日,Master,440
0032,國立聯合大學,D 日,Bachelor,6016
0032,國立聯合大學,P 進,Bachelor,1429
0033,國立虎尾科技大學,D 日,Doctor,26
0033,國立虎尾科技大學,D 日,Master,856
