學校類別,設立別,學校名稱,日間/進修,學制別,新生註冊率
一般,公立,國立政治大學,D 日,Bachelor,98.17
一般,公立,國立政治大學,D 日,Doctor,72.07
一般,公立,國立政治大學,D 日,Master,91.97
一般,公立,國立政治大學,N 職,Master,99.30
一般,公立,國立清華大學,D 日,Bachelor,95.89
一般,公立,國立清華大學,D 日,Doctor,89.43
一般,公立,國立清華大學,D 日,Master,93.46
一般,公立,國立清華大學,N 職,Master,98.94
一般,公立,國立臺灣大學,D 日,Bachelor,97.35
一般,公立,國立臺灣大學,D 日,Doctor,74.27
一般,公立,國立臺灣大學,D 日,Master,96.97
一般,公立,國立臺灣大學,N 職,Master,98.92
一般,公立,國立臺灣師範大學,D 日,Bachelor,97.42
一般,公立,國立臺灣師範大學,D 日,Doctor,88.11
一般,公立,國立臺灣師範大學,D 日,Master,87.06
一般,公立,國立臺灣師範大學,N 職,Master,80.53
一般,公立,國立成功大學,D 日,Bachelor,95.31
一般,公立,國立成功大學,D 日,Doctor,58.49
一般,公立,國立成功大學,D 日,Master,94.85
一般,公立,國立成功大學,N 職,Master,93.11
一般,公立,國立中興大學,D 日,Bachelor,96.11
一般,公立,國立中興大學,D 日,Doctor,70.14
一般,公立,國立中興大學,D 日,Master,92.26
一般,公立,國立中興大學,N 職,Master,95.22
一般,公立,國立中興大學,P 進,Bachelor,98.33
一般,公立,國立交通大學,D 日,Bachelor,97.17
一般,公立,國立交通大學,D 日,Doctor,77.87
一般,公立,國立交通大學,D 日,Master,96.82
一般,公立,國立交通大學,N 職,Master,96.26
一般,公立,國立中央大學,D 日,Bachelor,96.60
一般,公立,國立中央大學,D 日,Doctor,82.56
一般,公立,國立中央大學,D 日,Master,92.23
一般,公立,國立中央大學,N 職,Master,89.22
一般,公立,國立中山大學,D 日,Bachelor,95.86
一般,公立,國立中山大學,D 日,Doctor,88.89
一般,公立,國立中山大學,D 日,Master,88.22
一般,公立,國立中山大學,N 職,Master,91.88
一般,公立,國立臺灣海洋大學,D 日,Bachelor,96.08
一般,公立,國立臺灣海洋大學,D 日,Doctor,79.69
一般,公立,國立臺灣海洋大學,D 日,Master,82.69
一般,公立,國立臺灣海洋大學,N 職,Master,89.53
一般,公立,國立臺灣海洋大學,P 進,Bachelor,96.40
一般,公立,國立中正大學,D 日,Bachelor,95.21
一般,公立,國立中正大學,D 日,Doctor,86.41
一般,公立,國立中正大學,D 日,Master,87.20
一般,公立,國立中正大學,N 職,Master,86.79
一般,公立,國立高雄師範大學,D 日,Bachelor,95.36
一般,公立,國立高雄師範大學,D 日,Doctor,96.30
一般,公立,國立高雄師範大學,D 日,Master,84.62
一般,公立,國立高雄師範大學,N 職,Master,65.15
一般,公立,國立彰化師範大學,D 日,Bachelor,96.36
一般,公立,國立彰化師範大學,D 日,Doctor,94.25
一般,公立,國立彰化師範大學,D 日,Master,86.66
