學校代碼,學校名稱,日間∕進修別,等級別,學生數,縣市名稱
0001,國立政治大學,D 日,Doctor,952,30 臺北市
0001,國立政治大學,D 日,Master,4028,30 臺北市
0001,國立政治大學,D 日,Bachelor,9632,30 臺北市
0001,國立政治大學,N 職,Master,1741,30 臺北市
0002,國立清華大學,D 日,Doctor,1687,18 新竹市
0002,國立清華大學,D 日,Master,4955,18 新竹市
0002,國立清華大學,D 日,Bachelor,8860,18 新竹市
0002,國立清華大學,D 日,others,32,18 新竹市
0002,國立清華大學,N 職,Master,1130,18 新竹市
0003,國立臺灣大學,D 日,Doctor,3616,30 臺北市
0003,國立臺灣大學,D 日,Master,10201,30 臺北市
0003,國立臺灣大學,D 日,Bachelor,16557,30 臺北市
0003,國立臺灣大學,N 職,Master,1427,30 臺北市
0003,國立臺灣大學,P 進,Bachelor,1,30 臺北市
0004,國立臺灣師範大學,D 日,Doctor,1393,30 臺北市
0004,國立臺灣師範大學,D 日,Master,3956,30 臺北市
0004,國立臺灣師範大學,D 日,Bachelor,8085,30 臺北市
0004,國立臺灣師範大學,N 職,Master,1992,30 臺北市
0005,國立成功大學,D 日,Doctor,1833,21 臺南市
0005,國立成功大學,D 日,Master,6595,21 臺南市
0005,國立成功大學,D 日,Bachelor,11481,21 臺南市
0005,國立成功大學,N 職,Master,1343,21 臺南市
0006,國立中興大學,D 日,Doctor,989,19 臺中市
0006,國立中興大學,D 日,Master,3321,19 臺中市
0006,國立中興大學,D 日,Bachelor,8073,19 臺中市
0006,國立中興大學,N 職,Master,1544,19 臺中市
0006,國立中興大學,P 進,Bachelor,950,19 臺中市
0007,國立交通大學,D 日,Doctor,1701,18 新竹市
0007,國立交通大學,D 日,Master,5543,18 新竹市
0007,國立交通大學,D 日,Bachelor,5455,18 新竹市
0007,國立交通大學,N 職,Master,1470,18 新竹市
0008,國立中央大學,D 日,Doctor,1034,03 桃園市
0008,國立中央大學,D 日,Master,3448,03 桃園市
0008,國立中央大學,D 日,Bachelor,6117,03 桃園市
0008,國立中央大學,N 職,Master,1325,03 桃園市
0009,國立中山大學,D 日,Doctor,798,50 高雄市
0009,國立中山大學,D 日,Master,2901,50 高雄市
0009,國立中山大學,D 日,Bachelor,4740,50 高雄市
0009,國立中山大學,N 職,Master,1027,50 高雄市
0012,國立臺灣海洋大學,D 日,Doctor,292,17 基隆市
0012,國立臺灣海洋大學,D 日,Master,1393,17 基隆市
0012,國立臺灣海洋大學,D 日,Bachelor,5737,17 基隆市
0012,國立臺灣海洋大學,N 職,Master,566,17 基隆市
0012,國立臺灣海洋大學,N 修,others,161,17 基隆市
0012,國立臺灣海洋大學,P 進,Bachelor,503,17 基隆市
0013,國立中正大學,D 日,Doctor,588,10 嘉義縣
0013,國立中正大學,D 日,Master,2826,10 嘉義縣
0013,國立中正大學,D 日,Bachelor,6728,10 嘉義縣
0013,國立中正大學,N 職,Master,1370,10 嘉義縣
0014,國立高雄師範大學,D 日,Doctor,450,50 高雄市
0014,國立高雄師範大學,D 日,Master,1378,50 高雄市
0014,國立高雄師範大學,D 日,Bachelor,3487,50 高雄市
0014,國立高雄師範大學,N 職,Master,1339,50 高雄市
0015,國立彰化師範大學,D 日,Doctor,477,07 彰化縣
0015,國立彰化師範大學,D 日,Master,1510,07 彰化縣
0015,國立彰化師範大學,D 日,Bachelor,4895,07 彰化縣
0015,國立彰化師範大學,N 職,Master,1353,07 彰化縣
0016,國立陽明大學,D 日,Doctor,864,30 臺北市
0016,國立陽明大學,D 日,Master,1226,30 臺北市
0016,國立陽明大學,D 日,Bachelor,2107,30 臺北市
0016,國立陽明大學,N 職,Master,135,30 臺北市
0017,國立臺北大學,D 日,Doctor,214,01 新北市
0017,國立臺北大學,D 日,Master,1346,01 新北市
0017,國立臺北大學,D 日,Bachelor,5878,01 新北市
0017,國立臺北大學,N 職,Master,456,01 新北市
0017,國立臺北大學,P 進,Bachelor,1959,01 新北市
0018,國立嘉義大學,D 日,Doctor,181,20 嘉義市
0018,國立嘉義大學,D 日,Master,1355,20 嘉義市
0018,國立嘉義大學,D 日,Bachelor,7830,20 嘉義市
0018,國立嘉義大學,N 職,Master,938,20 嘉義市
0018,國立嘉義大學,P 進,Bachelor,2095,20 嘉義市
0019,國立高雄大學,D 日,Doctor,24,50 高雄市
0019,國立高雄大學,D 日,Master,646,50 高雄市
0019,國立高雄大學,D 日,Bachelor,4193,50 高雄市
0019,國立高雄大學,N 職,Master,473,50 高雄市
0019,國立高雄大學,N 修,2 Bachelor,170,50 高雄市
0020,國立東華大學,D 日,Doctor,346,15 花蓮縣
0020,國立東華大學,D 日,Master,1582,15 花蓮縣
0020,國立東華大學,D 日,Bachelor,7659,15 花蓮縣
0020,國立東華大學,N 職,Master,567,15 花蓮縣
0021,國立暨南國際大學,D 日,Doctor,346,08 南投縣
0021,國立暨南國際大學,D 日,Master,903,08 南投縣
0021,國立暨南國際大學,D 日,Bachelor,4675,08 南投縣
0021,國立暨南國際大學,N 職,Master,437,08 南投縣
0022,國立臺灣科技大學,D 日,Doctor,1013,30 臺北市
0022,國立臺灣科技大學,D 日,Master,3469,30 臺北市
0022,國立臺灣科技大學,D 日,4 Bachelor,5581,30 臺北市
0022,國立臺灣科技大學,D 日,2 Bachelor,147,30 臺北市
0022,國立臺灣科技大學,D 日,others,1,30 臺北市
0022,國立臺灣科技大學,N 職,Doctor,11,30 臺北市
0022,國立臺灣科技大學,N 職,Master,786,30 臺北市
0022,國立臺灣科技大學,N 修,2 Bachelor,11,30 臺北市
0023,國立雲林科技大學,D 日,Doctor,429,09 雲林縣
0023,國立雲林科技大學,D 日,Master,1973,09 雲林縣
0023,國立雲林科技大學,D 日,4 Bachelor,6320,09 雲林縣
0023,國立雲林科技大學,D 日,2 Bachelor,221,09 雲林縣
0023,國立雲林科技大學,N 職,Master,727,09 雲林縣
0023,國立雲林科技大學,N 修,4 Bachelor,45,09 雲林縣
0024,國立屏東科技大學,D 日,Doctor,252,13 屏東縣
0024,國立屏東科技大學,D 日,Master,1153,13 屏東縣
0024,國立屏東科技大學,D 日,4 Bachelor,7776,13 屏東縣
0024,國立屏東科技大學,D 日,2 Bachelor,10,13 屏東縣
0024,國立屏東科技大學,N 職,Master,475,13 屏東縣
0024,國立屏東科技大學,N 修,4 Bachelor,1521,13 屏東縣
0025,國立臺北科技大學,D 日,Doctor,722,30 臺北市
0025,國立臺北科技大學,D 日,Master,2783,30 臺北市
0025,國立臺北科技大學,D 日,4 Bachelor,5982,30 臺北市
0025,國立臺北科技大學,D 日,2 Bachelor,85,30 臺北市
0025,國立臺北科技大學,N 職,Master,1474,30 臺北市
0025,國立臺北科技大學,N 修,4 Bachelor,1586,30 臺北市
0025,國立臺北科技大學,N 修,2 Bachelor,341,30 臺北市
0026,國立高雄第一科技大學,D 日,Doctor,227,12 高雄市
0026,國立高雄第一科技大學,D 日,Master,1052,12 高雄市
