學校名稱,學校代碼,縣市名稱,103,104,105,106,103Rate,104Rate,105Rate,106Rate
國立政治大學,1,30 臺北市,16053,16247,16372,16353,82.63,82.44,84.66,83.17
國立清華大學,2,18 新竹市,16276,16321,16547,16664,79.95,83.71,88.29,88.83
國立臺灣大學,3,30 臺北市,31791,31758,31783,31802,82.37,83.44,86.65,85.6
國立臺灣師範大學,4,30 臺北市,15040,15081,15307,15426,87.9,89.32,90.84,89.65
國立成功大學,5,21 臺南市,21698,21236,21119,21252,83.15,83.49,83.82,84.9
國立中興大學,6,19 臺中市,15350,15141,15047,14877,83.27,80.18,85.39,86.06
國立交通大學,7,18 新竹市,14141,14083,14083,14169,82.61,82.81,87.28,86.45
國立中央大學,8,03 桃園市,11864,11962,11943,11924,78.38,78.78,85.65,83.63
國立中山大學,9,50 高雄市,9344,9312,9417,9466,79.14,81.67,89.89,84.12
國立臺灣海洋大學,12,17 基隆市,8371,8609,8707,8652,82.47,83.65,86.24,88.94
國立中正大學,13,10 嘉義縣,11838,11679,11535,11512,78.69,81.71,83.87,83
國立高雄師範大學,14,50 高雄市,6612,6631,6608,6654,89.84,91.43,90.14,91.26
國立彰化師範大學,15,07 彰化縣,8085,8124,8192,8235,85.91,85.96,89.41,92.29
國立陽明大學,16,30 臺北市,4431,4327,4335,4332,71.39,78.19,80.08,78.27
國立臺北大學,17,01 新北市,9613,9765,9767,9853,84.01,88.07,92.36,93.38
國立嘉義大學,18,20 嘉義市,12758,12693,12545,12399,84.08,85.01,88.31,83.24
國立高雄大學,19,50 高雄市,5454,5416,5511,5506,85.5,88.78,93.16,86.33
國立東華大學,20,15 花蓮縣,10093,10174,10245,10154,81.04,85.22,85.16,84.89
國立暨南國際大學,21,08 南投縣,5982,6139,6353,6361,75.98,74.66,77.93,75.47
國立臺灣科技大學,22,30 臺北市,10371,10446,10729,11019,85.81,85.43,92.54,91.36
國立雲林科技大學,23,09 雲林縣,9591,9862,9752,9715,87.73,87.03,89.22,85.82
國立屏東科技大學,24,13 屏東縣,11382,11454,11350,11187,71.55,77.32,74.94,76.87
國立臺北科技大學,25,30 臺北市,11660,11925,12568,12973,79.79,89.85,91.91,91.62
國立高雄第一科技大學,26,12 高雄市,7734,7709,7730,7804,79.32,93.55,92.26,89.57
國立高雄應用科技大學,27,50 高雄市,12188,12171,12019,11822,83.55,92.37,92.47,90.4
國立臺北藝術大學,28,30 臺北市,2922,3064,3116,3131,91.59,92.5,91,92.31
國立臺灣藝術大學,29,01 新北市,5403,5484,5682,5683,97.15,96.47,98.59,95.65
國立臺東大學,30,14 臺東縣,4654,4700,4647,4616,77.46,85.18,84.59,88.08
國立宜蘭大學,31,02 宜蘭縣,5533,5488,5487,5511,92.8,87.08,92.05,88.05
國立聯合大學,32,05 苗栗縣,7993,7894,7875,7729,86.79,85.01,82.33,82.04
國立虎尾科技大學,33,09 雲林縣,10217,10062,10091,10188,65.95,78.86,81.68,77.71
國立高雄海洋科技大學,34,50 高雄市,7819,7745,7738,7694,84.03,84.3,81.92,85.25
國立臺南藝術大學,35,11 臺南市,1554,1530,1529,1580,88.01,89.49,90.67,88.99
國立臺南大學,36,21 臺南市,6095,5996,5879,5745,92,90.78,88.18,85.35
國立臺北教育大學,37,30 臺北市,5622,5606,5657,5808,92.67,94.46,95.57,97.96
國立臺中教育大學,39,19 臺中市,5083,5028,5021,5006,97.08,95.15,94.3,97.09
國立澎湖科技大學,42,16 澎湖縣,3014,2984,3018,3008,56.41,80.79,88.55,85.41
國立勤益科技大學,43,06 臺中市,11252,11318,11235,11176,71.65,87.32,82.87,80.28
國立體育大學,44,03 桃園市,2240,2361,2437,2464,92.31,94.92,96.37,96.53
國立臺北護理健康大學,46,30 臺北市,4409,4657,4829,5077,94.52,98.18,96.6,95.67
